Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
29/6/2024 11:06:54 PM,4500.523,0.4050722,1.331828,290.1722
29/6/2024 11:06:54 PM,4500.523,0.4094821,1.331828,291.4726
29/6/2024 11:06:54 PM,4500.523,0.4094821,1.322855,291.396
29/6/2024 11:06:54 PM,4500.523,0.4094821,1.322855,291.0963
29/6/2024 11:06:54 PM,4500.524,0.4094821,1.331858,292.8846
29/6/2024 11:06:54 PM,4500.523,0.4094821,1.331858,292.6014
29/6/2024 11:06:54 PM,4500.524,0.4094821,1.322855,291.7546
29/6/2024 11:06:55 PM,4499.346,0.4094821,1.322855,291.396
29/6/2024 11:06:55 PM,4499.346,0.4094821,1.322855,291.4732
29/6/2024 11:06:55 PM,4500.523,0.413892,1.322855,290.2477
29/6/2024 11:06:55 PM,4500.523,0.413892,1.322855,291.6607
29/6/2024 11:06:55 PM,4500.524,0.4094821,1.331858,292.6014
29/6/2024 11:06:55 PM,4500.523,0.4094821,1.322855,291.2851
29/6/2024 11:06:55 PM,4500.523,0.413892,1.322855,291.3785
29/6/2024 11:06:55 PM,4500.523,0.4183019,1.331858,292.3193
29/6/2024 11:06:55 PM,4499.346,0.413892,1.322855,291.396
29/6/2024 11:06:55 PM,4499.346,0.4094821,1.322855,291.5667
29/6/2024 11:06:55 PM,4499.346,0.413892,1.331858,291.4726
29/6/2024 11:06:55 PM,4499.346,0.413892,1.331828,291.4901
29/6/2024 11:06:55 PM,5000.164,0.4315165,1.250862,292.761
29/6/2024 11:06:55 PM,5000.164,0.4227118,1.250862,292.0077
29/6/2024 11:06:55 PM,5001.47,0.4271065,1.250862,293.3256
29/6/2024 11:06:55 PM,5000.164,0.4227118,1.250862,292.2891
29/6/2024 11:06:55 PM,5000.164,0.4271065,1.250862,293.2313
29/6/2024 11:06:55 PM,5000.164,0.4227118,1.250862,291.9122
29/6/2024 11:06:55 PM,5000.164,0.4315165,1.250862,293.3271
29/6/2024 11:06:55 PM,5000.164,0.4227118,1.250862,291.818
29/6/2024 11:06:55 PM,5000.164,0.4359111,1.250862,293.2313
29/6/2024 11:06:56 PM,5000.164,0.4271065,1.250862,293.4206
29/6/2024 11:06:56 PM,5000.164,0.4271065,1.250862,293.2314
29/6/2024 11:06:56 PM,5000.164,0.4315012,1.250862,291.818
29/6/2024 11:06:56 PM,5000.164,0.4227118,1.250862,292.0064
29/6/2024 11:06:56 PM,5000.164,0.4227118,1.250862,292.1006
29/6/2024 11:06:56 PM,5001.47,0.4315165,1.250862,293.2321
29/6/2024 11:06:56 PM,5000.164,0.4271065,1.250862,293.5148
29/6/2024 11:06:56 PM,5000.164,0.4271065,1.259865,293.6083
29/6/2024 11:06:56 PM,5000.164,0.4315165,1.250862,293.3264
29/6/2024 11:06:56 PM,5000.164,0.4227118,1.250862,292.1949
29/6/2024 11:06:56 PM,5000.164,0.4315165,1.259865,293.514
29/6/2024 11:06:56 PM,5000.164,0.4227118,1.250862,291.818
29/6/2024 11:06:56 PM,5000.164,0.4227118,1.250862,292.0064
29/6/2024 11:06:56 PM,5500.326,0.4491256,1.178869,295.2303
29/6/2024 11:06:56 PM,5500.326,0.4403058,1.178869,295.6055
29/6/2024 11:06:56 PM,5500.326,0.440321,1.187841,294.29
29/6/2024 11:06:56 PM,5500.326,0.4403058,1.178869,295.7911
29/6/2024 11:06:56 PM,5500.326,0.4403058,1.178869,295.6032
29/6/2024 11:06:56 PM,5500.326,0.4447157,1.187841,295.6032
29/6/2024 11:06:56 PM,5500.326,0.4359111,1.178869,295.3215
29/6/2024 11:06:56 PM,5500.326,0.4403058,1.178869,295.6981
29/6/2024 11:06:56 PM,5500.326,0.4403058,1.178869,295.6981
29/6/2024 11:06:57 PM,5500.326,0.440321,1.178869,294.4762
29/6/2024 11:06:57 PM,5500.326,0.4403058,1.178869,295.6981
29/6/2024 11:06:57 PM,5500.326,0.440321,1.178869,294.6661
29/6/2024 11:06:57 PM,5500.326,0.440321,1.178869,294.7591
29/6/2024 11:06:57 PM,5500.326,0.440321,1.178869,294.4937
29/6/2024 11:06:57 PM,5500.326,0.4447157,1.169866,295.5093
29/6/2024 11:06:57 PM,5500.326,0.4447157,1.178869,295.8877
29/6/2024 11:06:57 PM,5500.326,0.4447157,1.178869,295.6041
29/6/2024 11:06:57 PM,5500.326,0.4359111,1.178869,295.4163
29/6/2024 11:06:57 PM,5498.893,0.4359111,1.178869,295.512
29/6/2024 11:06:57 PM,5500.326,0.4359111,1.187841,295.4172
29/6/2024 11:06:57 PM,5500.326,0.4359111,1.178869,295.6041
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.115879,297.679
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.7719
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.4903
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.1132
29/6/2024 11:06:57 PM,6000.228,0.4623249,1.124882,297.2085
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.115879,297.678
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.3025
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.3964
29/6/2024 11:06:57 PM,6000.228,0.4535203,1.124882,297.4903
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.124882,297.0207
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.115879,298.335
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.124882,297.3024
29/6/2024 11:06:58 PM,6000.228,0.4579302,1.133885,296.3641
29/6/2024 11:06:58 PM,6000.228,0.4579302,1.124882,296.4571
29/6/2024 11:06:58 PM,6000.228,0.4579149,1.124882,297.3033
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.106876,297.4903
29/6/2024 11:06:58 PM,6000.228,0.4579302,1.124882,296.569
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.124882,297.3964
29/6/2024 11:06:58 PM,6000.228,0.4491104,1.124882,296.3632
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.124882,297.3024
29/6/2024 11:06:58 PM,6000.228,0.4535203,1.124882,297.3024
29/6/2024 11:06:58 PM,6500.26,0.4623249,1.061861,300.4667
29/6/2024 11:06:58 PM,6500.26,0.4579302,1.061861,299.6301
29/6/2024 11:06:58 PM,6500.26,0.4667196,1.061861,299.5235
29/6/2024 11:06:58 PM,6500.26,0.4667348,1.061861,299.5373
29/6/2024 11:06:58 PM,6500.26,0.4667348,1.052858,299.7222
29/6/2024 11:06:58 PM,6500.26,0.4623249,1.061861,300.8415
29/6/2024 11:06:58 PM,6500.26,0.4623249,1.052858,298.4148
29/6/2024 11:06:58 PM,6500.26,0.4623249,1.061861,299.4453
