Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (?),Peak to peak (B) (V),"Phase (B, A) (?)"
30/6/2024 2:41:23 AM,31005.17,0.2696188,0.6253548,57.03371
30/6/2024 2:41:23 AM,31005.17,0.2678549,0.6163671,57.40349
30/6/2024 2:41:23 AM,31169.56,0.2660909,0.6298562,54.99566
30/6/2024 2:41:24 AM,31506.87,0.2678549,0.6388592,58.14821
30/6/2024 2:41:24 AM,31506.87,0.2660909,0.6388593,58.14821
30/6/2024 2:41:24 AM,31498.78,0.266097,0.6343578,58.14823
30/6/2024 2:41:24 AM,31498.78,0.2678549,0.6298562,57.51692
30/6/2024 2:41:24 AM,31498.78,0.2696188,0.6343578,58.15245
30/6/2024 2:41:24 AM,31498.78,0.2696188,0.6388593,59.49443
30/6/2024 2:41:24 AM,31498.78,0.2678549,0.6388592,57.85233
30/6/2024 2:41:24 AM,31506.87,0.2660909,0.6343578,58.14821
30/6/2024 2:41:24 AM,31498.78,0.2696188,0.6298562,54.21735
30/6/2024 2:41:24 AM,31498.78,0.2660909,0.6343578,59.09469
30/6/2024 2:41:24 AM,31498.78,0.2660909,0.6298562,56.81694
30/6/2024 2:41:24 AM,31498.78,0.2713828,0.6388592,59.16981
30/6/2024 2:41:24 AM,31498.78,0.2696188,0.6298562,57.68714
30/6/2024 2:41:24 AM,31506.87,0.2660909,0.6343578,58.33454
30/6/2024 2:41:24 AM,31498.78,0.2678549,0.6343578,58.62195
30/6/2024 2:41:24 AM,31498.78,0.2678549,0.6343578,57.87176
30/6/2024 2:41:24 AM,31506.87,0.2660909,0.6298562,58.07078
30/6/2024 2:41:24 AM,31506.87,0.2678549,0.6298562,57.51687
30/6/2024 2:41:24 AM,31498.78,0.2713767,0.6343578,58.89639
30/6/2024 2:41:24 AM,31506.87,0.2678549,0.6388592,58.39354
30/6/2024 2:41:24 AM,31498.78,0.2678549,0.6343578,55.26354
30/6/2024 2:41:25 AM,32008.58,0.2678549,0.6523484,57.68415
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6478622,58.04872
30/6/2024 2:41:25 AM,32000.35,0.266097,0.6478622,59.63398
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6478622,58.04858
30/6/2024 2:41:25 AM,32000.35,0.2643269,0.6478622,58.0486
30/6/2024 2:41:25 AM,32000.35,0.2713828,0.6478622,58.58163
30/6/2024 2:41:25 AM,32000.35,0.2625691,0.6433607,58.93261
30/6/2024 2:41:25 AM,32000.35,0.2643269,0.6478622,58.0424
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6433607,57.86649
30/6/2024 2:41:25 AM,32000.35,0.266097,0.6478469,59.79905
30/6/2024 2:41:25 AM,32000.35,0.266097,0.6433607,59.47859
30/6/2024 2:41:25 AM,32000.35,0.2660909,0.6478469,58.23057
30/6/2024 2:41:25 AM,32000.35,0.2643269,0.6433607,57.88108
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6478622,57.86653
30/6/2024 2:41:25 AM,32000.35,0.2660909,0.6478622,57.86657
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6433607,58.42065
30/6/2024 2:41:25 AM,32008.58,0.2660909,0.6478622,58.4969
30/6/2024 2:41:25 AM,32000.35,0.2678549,0.6478622,57.78992
30/6/2024 2:41:25 AM,32000.35,0.2625691,0.6433607,57.95767
30/6/2024 2:41:25 AM,32000.35,0.2643269,0.6433607,57.86657
30/6/2024 2:41:25 AM,32008.58,0.2678549,0.6478622,58.75138
30/6/2024 2:41:25 AM,32000.35,0.2784265,0.6478622,60.66176
30/6/2024 2:41:26 AM,32501.92,0.264333,0.6613513,59.07404
30/6/2024 2:41:26 AM,32501.92,0.2625691,0.6568499,59.97496
30/6/2024 2:41:26 AM,32501.92,0.2713828,0.6523484,59.25562
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6523484,59.44047
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6613513,58.44944
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6568499,59.10329
30/6/2024 2:41:26 AM,32501.92,0.2713828,0.6613513,59.34191
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6613513,58.62619
30/6/2024 2:41:26 AM,32501.92,0.264333,0.6568499,59.6156
30/6/2024 2:41:26 AM,32501.92,0.2625691,0.6613513,59.23656
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6568499,59.07601
30/6/2024 2:41:26 AM,32493.58,0.2660909,0.6568499,59.7906
30/6/2024 2:41:26 AM,32501.92,0.2731407,0.6568499,60.4201
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6658528,59.05137
30/6/2024 2:41:26 AM,32501.92,0.264333,0.6568499,59.88609
30/6/2024 2:41:26 AM,32493.58,0.2660909,0.6568499,59.78813
30/6/2024 2:41:26 AM,32501.92,0.2625691,0.6568499,59.71376
30/6/2024 2:41:26 AM,32501.92,0.2660909,0.6613513,58.27018
30/6/2024 2:41:26 AM,32501.92,0.264333,0.6568499,59.61818
30/6/2024 2:41:26 AM,32501.92,0.2678549,0.6658528,58.46302
30/6/2024 2:41:26 AM,32501.92,0.2608112,0.6613513,58.63521
30/6/2024 2:41:27 AM,33003.5,0.264333,0.6748558,60.48397
30/6/2024 2:41:27 AM,33003.5,0.2678549,0.6748558,60.21092
30/6/2024 2:41:27 AM,33003.5,0.2625691,0.6703543,60.01751
30/6/2024 2:41:27 AM,32995.03,0.2643269,0.6703543,58.95942
30/6/2024 2:41:27 AM,33003.5,0.2643269,0.6703543,58.94274
