Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (B, A) (°)"
30/6/2024 3:15,7500.325,0.2872402,0.3959471,37.07547
30/6/2024 3:15,7500.325,0.2837184,0.3959471,37.07408
30/6/2024 3:15,7500.325,0.2819544,0.3959471,37.45129
30/6/2024 3:15,7500.325,0.2819544,0.3959471,36.99234
30/6/2024 3:15,7500.325,0.2819544,0.3959471,37.73096
30/6/2024 3:15,7500.325,0.2837184,0.3959471,37.54219
30/6/2024 3:15,7500.325,0.2872402,0.3959471,36.41264
30/6/2024 3:15,7500.325,0.2819544,0.3959471,36.98184
30/6/2024 3:15,7500.325,0.2854763,0.3959471,38.19932
30/6/2024 3:15,7498.378,0.2819544,0.3959471,37.16632
30/6/2024 3:15,7500.325,0.2819544,0.3959471,36.80367
30/6/2024 3:15,7500.325,0.2801905,0.3959471,37.07408
30/6/2024 3:15,7500.325,0.2819544,0.3959471,36.88819
30/6/2024 3:15,7998.801,0.2819544,0.4049501,39.55645
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.65928
30/6/2024 3:15,7998.801,0.2801905,0.4139531,39.75238
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.65928
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.4731
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.4731
30/6/2024 3:15,8000.875,0.2872402,0.4049501,39.00772
30/6/2024 3:15,7998.801,0.2801905,0.4049501,39.55648
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.65928
30/6/2024 3:15,8000.875,0.2819544,0.4139531,39.56618
30/6/2024 3:15,8000.876,0.2784326,0.4049501,39.00768
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.56472
30/6/2024 3:15,8000.875,0.2801905,0.4139531,39.75233
30/6/2024 3:15,7998.801,0.2819544,0.4049501,39.2772
30/6/2024 3:15,8000.875,0.2819544,0.4049501,39.75237
30/6/2024 3:15,8000.875,0.2819544,0.4139531,39.00768
30/6/2024 3:15,8000.876,0.2837184,0.4049501,39.75235
30/6/2024 3:15,7998.801,0.2819544,0.4139531,39.47305
30/6/2024 3:15,7998.801,0.2801905,0.4139531,39.75237
30/6/2024 3:15,8000.876,0.2837184,0.4049501,39.10075
30/6/2024 3:15,8000.876,0.2854823,0.4049501,39.0077
30/6/2024 3:15,8487.454,0.2801905,0.431959,42.00193
30/6/2024 3:15,8500.648,0.2784265,0.422956,42.05705
30/6/2024 3:15,8500.648,0.2819544,0.431959,41.6825
30/6/2024 3:15,8500.648,0.2819544,0.431959,41.95039
30/6/2024 3:15,8500.648,0.2819544,0.422956,42.4287
30/6/2024 3:15,8500.648,0.2837184,0.431959,42.71011
30/6/2024 3:15,8500.648,0.2819544,0.431959,42.14884
30/6/2024 3:15,8500.648,0.2819544,0.422956,41.96226
30/6/2024 3:15,8500.648,0.2801905,0.422956,42.24061
30/6/2024 3:15,8500.648,0.2819544,0.431959,42.24211
30/6/2024 3:15,8500.648,0.2784326,0.422956,41.40128
30/6/2024 3:15,8500.648,0.2819544,0.431959,41.4945
30/6/2024 3:15,8500.648,0.2784326,0.431959,41.39391
30/6/2024 3:15,8500.648,0.2801905,0.431959,41.77727
30/6/2024 3:15,8498.446,0.2819544,0.4319285,43.82819
30/6/2024 3:15,8500.648,0.2784326,0.431959,41.21782
30/6/2024 3:15,8500.648,0.2801905,0.431959,41.59075
30/6/2024 3:15,8500.648,0.2801905,0.422956,42.1473
30/6/2024 3:15,8500.648,0.2819544,0.422956,41.59224
30/6/2024 3:15,8500.648,0.2784326,0.431959,41.30806
30/6/2024 3:15,8500.648,0.2819544,0.422956,42.15033
30/6/2024 3:15,8500.648,0.2784326,0.422956,41.4043
30/6/2024 3:15,8999.644,0.2801905,0.4409314,44.88052
30/6/2024 3:15,8999.644,0.2784265,0.4409314,44.50817
30/6/2024 3:15,9001.976,0.2819544,0.4499344,46.66994
30/6/2024 3:15,8999.644,0.2784326,0.4589068,44.15079
30/6/2024 3:15,9001.976,0.2801905,0.4409314,44.42893
30/6/2024 3:15,8999.644,0.2784265,0.4499344,46.47943
30/6/2024 3:15,8999.644,0.2819544,0.4499039,44.24489
30/6/2024 3:15,9001.976,0.2819544,0.4499344,46.20967
30/6/2024 3:15,9001.976,0.2801905,0.4409314,44.89118
30/6/2024 3:15,8999.644,0.2801905,0.4499344,46.49222
