Time (UTC +02:00 d/M/yyyy h:mm:ss tt),Frequency (B) (Hz),Peak to peak (A) (V),Peak to peak (B) (V),"Phase (A, B) (°)"
26/6/2024 1:24:13 PM,9501.69,0.2479507,0.4106265,311.2316
26/6/2024 1:24:13 PM,9499.244,0.2479507,0.4150975,311.3269
26/6/2024 1:24:14 PM,9500.608,0.2497452,0.4106265,310.6466
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.0617
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.2664
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.4568
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.2664
26/6/2024 1:24:14 PM,9999.276,0.2479507,0.4329509,308.8379
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3473
26/6/2024 1:24:14 PM,10000.64,0.2479446,0.4329509,308.1569
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4374218,308.3472
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.1713
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3472
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4374218,308.3473
26/6/2024 1:24:14 PM,10000.64,0.2497452,0.4374218,307.4915
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.3472
26/6/2024 1:24:14 PM,10000.64,0.2461501,0.4329509,308.4424
26/6/2024 1:24:14 PM,10001.85,0.2461501,0.4329509,308.4568
26/6/2024 1:24:15 PM,10000.64,0.2461501,0.4329509,308.4425
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4641865,306.8552
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,306.936
26/6/2024 1:24:15 PM,10500.67,0.2479507,0.4597308,305.8819
26/6/2024 1:24:15 PM,10501.75,0.2479507,0.4597308,305.8013
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,306.4565
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.6482
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.6482
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4597308,306.4565
26/6/2024 1:24:15 PM,10500.67,0.2443556,0.4642018,305.8818
26/6/2024 1:24:15 PM,10501.75,0.2461501,0.4597308,304.1785
26/6/2024 1:24:15 PM,10500.67,0.2461501,0.4597308,303.4027
26/6/2024 1:24:15 PM,10500.67,0.2479446,0.4597308,305.8819
26/6/2024 1:24:15 PM,10500.67,0.2479446,0.4597308,306.5676
26/6/2024 1:24:16 PM,10501.75,0.2479507,0.4597308,304.4643
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,304.3249
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0286
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,304.3192
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0343
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,303.9374
26/6/2024 1:24:16 PM,10998.57,0.2425611,0.4909818,304.228
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.3135
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.2224
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,303.9375
26/6/2024 1:24:16 PM,11000.7,0.2425611,0.4909818,303.9536
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.5017
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,304.0286
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.2167
26/6/2024 1:24:16 PM,11001.4,0.2443556,0.4909818,303.9375
26/6/2024 1:24:16 PM,11000.7,0.2443556,0.4909818,304.4161
26/6/2024 1:24:17 PM,11001.4,0.2443556,0.4909818,304.3354
26/6/2024 1:24:17 PM,11500.74,0.2407605,0.5266885,302.8579
26/6/2024 1:24:17 PM,11500.79,0.2443556,0.5266885,302.0215
26/6/2024 1:24:17 PM,11500.79,0.2425611,0.5266885,301.5621
26/6/2024 1:24:17 PM,11500.79,0.2425611,0.5266885,301.7475
26/6/2024 1:24:17 PM,11500.74,0.2443556,0.5266885,301.6591
26/6/2024 1:24:17 PM,11500.74,0.2443556,0.5266885,301.7476
26/6/2024 1:24:17 PM,11500.74,0.2425611,0.5266885,301.836
26/6/2024 1:24:17 PM,11500.79,0.2425611,0.5266885,301.836
26/6/2024 1:24:17 PM,11500.74,0.2443556,0.5266885,301.8361
26/6/2024 1:24:17 PM,11500.74,0.2425611,0.5266885,301.7433
26/6/2024 1:24:17 PM,11497.83,0.2443556,0.5266885,301.8361
26/6/2024 1:24:17 PM,11500.74,0.2425611,0.5266885,301.8446
26/6/2024 1:24:17 PM,11500.74,0.2425611,0.5266885,301.7433
26/6/2024 1:24:17 PM,11500.74,0.2425611,0.5222175,301.8403
26/6/2024 1:24:18 PM,11500.74,0.2425611,0.5266885,301.8404
26/6/2024 1:24:18 PM,11500.79,0.2443556,0.5222175,301.7517
26/6/2024 1:24:18 PM,12003,0.2407666,0.5623951,299.7697
26/6/2024 1:24:18 PM,12000.77,0.238966,0.5623951,299.753
26/6/2024 1:24:18 PM,12000.77,0.2425611,0.5623951,299.5806
26/6/2024 1:24:18 PM,12000.77,0.2407666,0.5623951,299.753
26/6/2024 1:24:18 PM,12000.77,0.2407666,0.5623951,300.0537
26/6/2024 1:24:18 PM,12000.77,0.238966,0.5623951,299.7529
26/6/2024 1:24:18 PM,12000.77,0.238966,0.5623951,299.7697
26/6/2024 1:24:18 PM,12000.77,0.2407605,0.5623951,300.3379
26/6/2024 1:24:18 PM,12000.77,0.238966,0.5623951,299.7697
26/6/2024 1:24:18 PM,12000.77,0.2407666,0.5623951,299.6751
26/6/2024 1:24:18 PM,12000.77,0.238966,0.566866,300.6221
26/6/2024 1:24:18 PM,12003,0.2407666,0.5579394,299.3914
26/6/2024 1:24:19 PM,12000.77,0.2425611,0.5623951,298.6193
26/6/2024 1:24:19 PM,12091.01,0.238966,0.5981017,299.4071
26/6/2024 1:24:19 PM,12502.01,0.2371655,0.5981017,298.1124
26/6/2024 1:24:19 PM,12498.79,0.2371655,0.5981017,298.6758
26/6/2024 1:24:19 PM,12502.01,0.238966,0.6025727,298.0155
26/6/2024 1:24:19 PM,12502.01,0.235371,0.5981017,297.6281
26/6/2024 1:24:19 PM,12500.8,0.238966,0.6025727,297.5313
26/6/2024 1:24:19 PM,12502.01,0.235371,0.5981017,298.0942
26/6/2024 1:24:19 PM,12500.8,0.2371655,0.6025727,298.0942
26/6/2024 1:24:19 PM,12502.01,0.2371655,0.6025727,299.3726
26/6/2024 1:24:19 PM,12502.01,0.235371,0.5981017,298.8878
26/6/2024 1:24:19 PM,12500.8,0.2371655,0.5981017,297.9186
26/6/2024 1:24:19 PM,12502.01,0.2371655,0.6025727,298.1124
26/6/2024 1:24:19 PM,12500.8,0.235371,0.5981017,297.9186
26/6/2024 1:24:19 PM,12498.79,0.235371,0.5981017,298.0942
26/6/2024 1:24:19 PM,12500.8,0.235371,0.5981017,298.5
26/6/2024 1:24:20 PM,12500.8,0.2371655,0.5981017,298.5
26/6/2024 1:24:20 PM,12500.8,0.235371,0.5981017,298.0942
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6516618,296.5836
26/6/2024 1:24:20 PM,13000.83,0.2299875,0.6516618,296.6772
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6516618,296.8647
26/6/2024 1:24:20 PM,13000.75,0.231782,0.6516618,296.6772
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6516618,296.8823
26/6/2024 1:24:20 PM,13000.83,0.2335765,0.6516618,297.3335
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6561327,297.4273
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6516618,296.6772
26/6/2024 1:24:20 PM,13000.75,0.231782,0.6516618,296.8646
26/6/2024 1:24:20 PM,13000.75,0.231782,0.6472061,296.9584
26/6/2024 1:24:20 PM,13000.83,0.2335765,0.6516618,296.7709
26/6/2024 1:24:20 PM,13000.75,0.2335765,0.6516618,296.6772
26/6/2024 1:24:20 PM,13000.75,0.231782,0.6516618,296.7709
26/6/2024 1:24:20 PM,13000.83,0.231782,0.6516618,296.5835
26/6/2024 1:24:21 PM,13000.75,0.231782,0.6516618,296.7709
26/6/2024 1:24:21 PM,13000.83,0.231782,0.6516618,296.9584
26/6/2024 1:24:21 PM,13500.86,0.2263924,0.7052217,296.9197
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,296.0324
26/6/2024 1:24:21 PM,13500.86,0.2263924,0.7052217,296.2445
26/6/2024 1:24:21 PM,13500.86,0.2299875,0.7052217,296.129
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,295.7621
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,296.2254
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,295.6657
26/6/2024 1:24:21 PM,13500.86,0.2299875,0.7052217,295.6465
26/6/2024 1:24:21 PM,13499.25,0.2281869,0.7052217,295.9359
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,296.0516
26/6/2024 1:24:21 PM,13500.86,0.2281869,0.7052217,295.936
26/6/2024 1:24:21 PM,13502.71,0.2281869,0.7052217,295.8586
26/6/2024 1:24:21 PM,13499.25,0.2263924,0.7052217,296.7078
26/6/2024 1:24:21 PM,13502.71,0.2299875,0.7052217,295.8586
26/6/2024 1:24:22 PM,13502.71,0.2281869,0.7052217,296.1481
26/6/2024 1:24:22 PM,13500.86,0.2263924,0.7052217,296.5149
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.4516
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.812
26/6/2024 1:24:22 PM,14001.08,0.2227973,0.7632526,294.812
26/6/2024 1:24:22 PM,14001.08,0.2209967,0.7677236,294.7227
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.531
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7677236,293.9693
26/6/2024 1:24:22 PM,14001.08,0.2209967,0.7632526,294.2501
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.8262
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.0629
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7677236,295.093
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7677236,294.4373
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7677236,294.7183
26/6/2024 1:24:22 PM,14000.9,0.2209967,0.7632526,294.2501
26/6/2024 1:24:22 PM,13997.48,0.2227973,0.7632526,294.6247
26/6/2024 1:24:23 PM,14000.9,0.2209967,0.7632526,294.6246
26/6/2024 1:24:23 PM,14000.9,0.2209967,0.7632526,294.531
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,293.7848
26/6/2024 1:24:23 PM,14500.93,0.2156072,0.830195,293.6119
26/6/2024 1:24:23 PM,14502.91,0.2156072,0.830195,293.9778
26/6/2024 1:24:23 PM,14500.93,0.2156072,0.830195,293.6119
26/6/2024 1:24:23 PM,14502.91,0.2138127,0.830195,293.7085
26/6/2024 1:24:23 PM,14500.93,0.2156072,0.834666,293.8813
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,294.0743
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,293.612
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,293.7085
26/6/2024 1:24:23 PM,14500.93,0.2120121,0.830195,294.55
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,294.0743
26/6/2024 1:24:23 PM,14500.93,0.2120121,0.830195,294.9991
26/6/2024 1:24:23 PM,14500.93,0.2138127,0.830195,293.9778
26/6/2024 1:24:23 PM,14502.91,0.2138127,0.830195,293.9016
26/6/2024 1:24:23 PM,14500.93,0.2156072,0.834666,293.9981
26/6/2024 1:24:24 PM,14502.91,0.2174017,0.830195,292.7421
26/6/2024 1:24:24 PM,15000.96,0.204828,0.9150212,294.7075
26/6/2024 1:24:24 PM,15000.96,0.2066225,0.9105502,292.3527
26/6/2024 1:24:24 PM,15000.96,0.2030336,0.9060946,293.5784
26/6/2024 1:24:24 PM,15000.96,0.2066225,0.9105502,293.5784
26/6/2024 1:24:24 PM,15000.96,0.204828,0.9060946,292.8243
