Frequency (B) (Hz),Peak to peak (A) (V),Normalized Peak to Peak (A) (V) ,Peak to peak (B) (V),"Phase (A, B) (°)",,,
3500.406,0.1661946,0.641561075,1.376842,78.9171,,,
3500.406,0.1644185,0.634704795,1.376842,81.24783,,,
3500.406,0.1670858,0.645001374,1.376842,78.73074,,,
3500.406,0.1670827,0.644989407,1.376842,81.34108,,,
3500.406,0.1626392,0.627836163,1.385846,80.129,,,
3500.406,0.1635304,0.631276462,1.376842,81.15462,,,
3499.497,0.1635304,0.631276462,1.385846,80.68845,,,
3500.406,0.1635304,0.631276462,1.394848,79.9425,,,
3500.406,0.1653066,0.638133128,1.36784,79.9425,,,
3500.406,0.1635304,0.631276462,1.36784,80.31455,,,
3500.406,0.1653066,0.638133128,1.385846,79.84926,,,
3500.406,0.1644185,0.634704795,1.376842,79.17633,,,
3500.406,0.1644185,0.634704795,1.376842,79.54919,,,
3500.406,0.1635273,0.631264495,1.376842,81.6207,,,
3500.406,0.1635304,0.631276462,1.376842,80.01538,,,
4000.438,0.1759697,0.679295897,1.304849,79.32182,,,
4000.438,0.177749,0.686164529,1.304849,80.26107,,,
4000.438,0.1777459,0.686152562,1.304849,80.64055,,,
4000.256,0.177749,0.686164529,1.304849,79.88342,,,
4000.438,0.1786371,0.689592862,1.295877,79.02354,,,
4000.438,0.1804132,0.696449141,1.295877,77.83318,,,
4000.438,0.1768578,0.682724229,1.304849,80.16616,,,
4000.438,0.1759697,0.679295897,1.304849,80.71409,,,
4000.438,0.1777459,0.686152562,1.304849,80.42952,,,
4000.256,0.1750816,0.675867564,1.304849,80.73537,,,
4000.438,0.1786371,0.689592862,1.295877,78.85686,,,
3999.401,0.1777459,0.686152562,1.304849,80.44782,,,
3999.401,0.1777459,0.686152562,1.304849,80.64058,,,
4000.438,0.1759697,0.679295897,1.304849,80.35595,,,
4000.438,0.1759697,0.679295897,1.295877,79.13587,,,
4000.438,0.1750816,0.675867564,1.304849,80.9017,,,
4500.987,0.1893002,0.730755631,1.232856,79.37709,,,
4499.822,0.1910794,0.737623877,1.223853,76.23675,,,
4500.288,0.1885556,0.727881251,1.223853,77.87301,,,
4500.288,0.1885556,0.727881251,1.223853,77.50711,,,
4500.987,0.1903195,0.734690435,1.223853,77.13706,,,
4499.822,0.1867977,0.721095229,1.223853,77.98636,,,
4500.987,0.1885556,0.727881251,1.223853,79.00044,,,
4500.288,0.1901914,0.73419593,1.223853,79.49261,,,
4500.987,0.1893033,0.730767598,1.223853,77.965,,,
4499.822,0.1893002,0.730755631,1.223853,77.89227,,,
4499.822,0.1893033,0.730767598,1.223853,78.24734,,,
4500.987,0.187524,0.723898965,1.223853,78.1532,,,
4500.288,0.1884121,0.727327298,1.223853,78.72013,,,
4500.987,0.1884121,0.727327298,1.223853,79.65956,,,
